respondent,assigned_class,post_profile_0,post_profile_1
226,0,0.9196398183364037,0.08036018166359632
227,0,0.897095225456204,0.10290477454379605
228,0,0.8367322011739955,0.16326779882600448
229,0,0.9082674359843185,0.09173256401568156
230,0,0.8486496577447404,0.15135034225525967
231,0,0.919997572111041,0.08000242788895913
232,1,0.2817979064772141,0.7182020935227861
233,1,0.02488321648042264,0.9751167835195772
234,1,0.02488321648042264,0.9751167835195772
235,0,0.8551229964166008,0.14487700358339914
236,0,0.8967031315133432,0.10329686848665662
237,0,0.9176175896850907,0.08238241031490931
238,0,0.9180583922153185,0.08194160778468144
239,0,0.863876634731978,0.13612336526802205
240,0,0.863876634731978,0.13612336526802205
241,1,0.016610225463235827,0.9833897745367641
242,1,0.02488321648042264,0.9751167835195772
243,1,0.005339020615077236,0.9946609793849229
244,1,0.03576496867310303,0.964235031326897
245,1,0.06323845445090878,0.936761545549091
246,1,0.06323845445090878,0.936761545549091
247,1,0.03576496867310303,0.964235031326897
248,1,0.02488321648042264,0.9751167835195772
249,1,0.03576496867310303,0.964235031326897
250,1,0.02488321648042264,0.9751167835195772
251,1,0.016610225463235827,0.9833897745367641
252,1,0.12407860988598868,0.8759213901140112
253,0,0.9176175896850907,0.08238241031490931
254,1,0.02488321648042264,0.9751167835195772
255,1,0.02488321648042264,0.9751167835195772
256,0,0.7614283162799566,0.23857168372004323
257,0,0.7563085600400921,0.24369143995990813
258,0,0.6947703708977992,0.30522962910220064
259,0,0.7614283162799566,0.23857168372004323
260,0,0.8799887993279241,0.12001120067207591
