construct,profile_1,profile_2,mean_1,mean_2,t_statistic,df,p_value,cohens_d,CI95_lower,CI95_upper
SNO,2,3,4.697530864197531,3.7588383838383836,15.610686976459682,370.0,1.654812176934984e-36,1.7744488578891915,0.8201232548802092,1.0572617058380853
SNO,2,4,4.697530864197531,4.043537414965986,10.440506720311106,351.0,4.620360936408358e-21,1.1595459954431762,0.5305570312261795,0.7774298672369108
SNO,2,5,4.697530864197531,2.4047619047619047,18.7994386145269,176.0,3.070233538508865e-34,3.2244796323142757,2.0507379307956626,2.53479998807559
SNO,2,6,4.697530864197531,4.621004566210045,1.0298607793949643,179.0,0.3045719211065564,0.1524943373063541,-0.07018195028409221,0.22323454625906355
SNO,3,4,3.7588383838383836,4.043537414965986,-5.760997503468248,507.0,1.4727403526639515e-08,-0.5127675629466262,-0.38179523094225953,-0.18760283131294464
SNO,3,5,3.7588383838383836,2.4047619047619047,11.700710791885145,332.0,4.1071896788669217e-19,2.1343855475813247,1.123831124891742,1.584321833261216
SNO,3,6,3.7588383838383836,4.621004566210045,-13.56439801795837,335.0,1.469931765690949e-26,-1.666012646184119,-0.9879283515819735,-0.7364040131613496
SNO,4,5,4.043537414965986,2.4047619047619047,14.000752150500842,313.0,8.826857682177591e-24,2.4353119017199893,1.406048779420028,1.8715022409881341
SNO,4,6,4.043537414965986,4.621004566210045,-8.757566599074366,316.0,4.78474288296444e-15,-1.0378619673876934,-0.7077943923258762,-0.44713991016224275
SNO,5,6,2.4047619047619047,4.621004566210045,-17.918246760152428,141.0,4.3610019992523715e-33,-3.0355768588226466,-2.461612388000033,-1.970872934896248
COVID,0,1,4.241992882562277,3.253333333333333,13.595897509715112,404.0,6.566503083681073e-30,1.6161343221345392,0.8452294453802833,1.1320896530776052
COVID,0,2,4.241992882562277,4.5246913580246915,-4.467973383081154,387.0,1.3456000329914593e-05,-0.5080761837694616,-0.4074946915378526,-0.15790225938697583
COVID,0,3,4.241992882562277,3.8345959595959593,8.324377955099958,543.0,7.097393896084441e-16,0.714706626891264,0.31125865528993,0.5035351906427058
