respondent,assigned_class,post_profile_0,post_profile_1,post_profile_2
667,0,0.8874203834103178,0.05156460744823965,0.06101500914144251
668,0,0.7656504744372816,0.1473649323869845,0.08698459317573387
669,0,0.5866833386212842,0.2223320699838362,0.19098459139487958
670,0,0.7656504744372816,0.1473649323869845,0.08698459317573387
671,0,0.7289090795107981,0.17637555912543468,0.09471536136376735
672,0,0.6013261948862322,0.29982380082991805,0.09885000428384981
673,0,0.9899340399015539,0.00027176436751201276,0.00979419573093408
674,0,0.8631493518462965,0.08630545287710131,0.05054519527660229
675,0,0.6947434575004048,0.22170531863772466,0.08355122386187047
676,0,0.7660475856223695,0.1873778224216528,0.04657459195597762
677,0,0.6947434575004048,0.22170531863772466,0.08355122386187047
678,0,0.6947434575004048,0.22170531863772466,0.08355122386187047
679,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
680,0,0.6947434575004048,0.22170531863772466,0.08355122386187047
681,0,0.6947434575004048,0.22170531863772466,0.08355122386187047
682,0,0.6947434575004048,0.22170531863772466,0.08355122386187047
683,0,0.6947434575004048,0.22170531863772466,0.08355122386187047
684,0,0.6947434575004048,0.22170531863772466,0.08355122386187047
685,0,0.6947434575004048,0.22170531863772466,0.08355122386187047
686,0,0.6947434575004048,0.22170531863772466,0.08355122386187047
687,0,0.8144174291481332,0.09087795669501693,0.09470461415684979
688,0,0.6113122533987618,0.13951260775941676,0.24917513884182144
689,0,0.7519874361262812,0.15242221032852168,0.09559035354519745
690,0,0.7644110456144666,0.06951491004405277,0.16607404434148054
691,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
692,0,0.6113122533987618,0.13951260775941676,0.24917513884182144
693,0,0.6947434575004048,0.22170531863772466,0.08355122386187047
694,0,0.7868753442732696,0.14347403938826553,0.06965061633846491
695,1,0.38043083983346493,0.4520264153114558,0.16754274485507922
696,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
697,0,0.8144174291481332,0.09087795669501693,0.09470461415684979
698,0,0.7227557715264681,0.18778515871897994,0.08945906975455196
699,0,0.689929534576861,0.19960156891406097,0.1104688965090778
700,0,0.8722866543548997,0.04187277603014618,0.08584056961495427
701,1,0.14704100636446088,0.7757245984184373,0.07723439521710206
702,0,0.6013261948862322,0.29982380082991805,0.09885000428384981
703,2,0.41133325640661766,0.07416553233099675,0.5145012112623856
704,0,0.7644110456144666,0.06951491004405277,0.16607404434148054
705,0,0.7227557715264681,0.18778515871897994,0.08945906975455196
706,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
707,0,0.689929534576861,0.19960156891406097,0.1104688965090778
708,1,0.38043083983346493,0.4520264153114558,0.16754274485507922
709,2,0.41133325640661766,0.07416553233099675,0.5145012112623856
710,0,0.6013261948862322,0.29982380082991805,0.09885000428384981
711,0,0.5866833386212842,0.2223320699838362,0.19098459139487958
712,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
713,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
714,0,0.8874203834103178,0.05156460744823965,0.06101500914144251
715,0,0.8254081091903747,0.0987456747881031,0.07584621602152236
716,0,0.8144174291481332,0.09087795669501693,0.09470461415684979
717,1,0.16489188238592117,0.6730108856861128,0.16209723192796585
718,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
719,1,0.38043083983346493,0.4520264153114558,0.16754274485507922
720,0,0.6660049981502789,0.30947547295605293,0.02451952889366827
721,0,0.7227557715264681,0.18778515871897994,0.08945906975455196
722,0,0.5866833386212842,0.2223320699838362,0.19098459139487958
723,1,0.38074881940066146,0.517918011186552,0.10133316941278654
724,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
